# This document gives the data used to make Figure 3(a) in the accompanying
# LIGO Document LIGO-P1200087.  It is derived as the concatenation of the files
# PlotRatesData-HundredSlideBkg-NoEvent.txt and 
# PlotRatesData-ExtendedBkg-NoEvent.txt from LIGO Document P1100034;
# see that document for more details.
#
# For questions regarding the use of this material, please contact the LSC
# spokesperson Gabriela Gonzalez <gonzalez@lsu.edu> and the Virgo 
# spokesperson Jean-Yves Vinet <Jean-Yves.Vinet@oca.eu>.
#
# Combined NewSNR	Cumulative Rate (yr^-1)	y-error (+/- yr^-1)
8.004032	2288.101801	14.120970
8.004033	2288.014652	14.120701
8.004035	2287.927503	14.120432
8.004047	2287.840353	14.120163
8.004058	2287.753204	14.119894
8.004061	2287.666055	14.119625
8.004072	2287.578906	14.119357
8.004075	2287.491757	14.119088
8.004091	2287.404608	14.118819
8.004094	2287.317458	14.118550
8.004102	2287.230309	14.118281
8.004115	2287.143160	14.118012
8.004122	2287.056011	14.117743
8.004125	2286.968862	14.117474
8.004162	2286.881712	14.117205
8.004163	2286.794563	14.116936
8.004169	2286.707414	14.116667
8.004180	2286.620265	14.116398
8.004182	2286.533116	14.116129
8.004187	2286.445967	14.115860
8.004195	2286.358817	14.115591
8.004202	2286.271668	14.115322
8.004203	2286.184519	14.115053
8.004211	2286.097370	14.114784
8.004214	2286.010221	14.114515
8.004231	2285.923071	14.114246
8.004242	2285.835922	14.113976
8.004255	2285.748773	14.113707
8.004290	2285.661624	14.113438
8.004294	2285.574475	14.113169
8.004300	2285.487326	14.112900
8.004305	2285.400176	14.112631
8.004306	2285.313027	14.112362
8.004307	2285.225878	14.112093
8.004308	2285.138729	14.111824
8.004310	2285.051580	14.111555
8.004313	2284.964430	14.111286
8.004317	2284.877281	14.111017
8.004332	2284.790132	14.110747
8.004352	2284.702983	14.110478
8.004353	2284.615834	14.110209
8.004360	2284.528685	14.109940
8.004370	2284.441535	14.109671
8.004387	2284.354386	14.109402
8.004390	2284.267237	14.109133
8.004390	2284.180088	14.108864
8.004405	2284.092939	14.108594
8.004405	2284.005789	14.108325
8.004427	2283.918640	14.108056
8.004431	2283.831491	14.107787
8.004436	2283.744342	14.107518
8.004439	2283.657193	14.107249
8.004439	2283.570044	14.106979
8.004441	2283.482894	14.106710
8.004453	2283.395745	14.106441
8.004453	2283.308596	14.106172
8.004457	2283.221447	14.105903
8.004474	2283.134298	14.105633
8.004489	2283.047148	14.105364
8.004498	2282.959999	14.105095
8.004515	2282.872850	14.104826
8.004525	2282.785701	14.104556
8.004527	2282.698552	14.104287
8.004530	2282.611403	14.104018
8.004552	2282.524253	14.103749
8.004553	2282.437104	14.103480
8.004572	2282.349955	14.103210
8.004601	2282.262806	14.102941
8.004604	2282.175657	14.102672
8.004606	2282.088507	14.102402
8.004612	2282.001358	14.102133
8.004623	2281.914209	14.101864
8.004626	2281.827060	14.101595
8.004635	2281.739911	14.101325
8.004643	2281.652761	14.101056
8.004650	2281.565612	14.100787
8.004652	2281.478463	14.100517
8.004655	2281.391314	14.100248
8.004665	2281.304165	14.099979
8.004668	2281.217016	14.099709
8.004670	2281.129866	14.099440
8.004677	2281.042717	14.099171
8.004688	2280.955568	14.098901
8.004689	2280.868419	14.098632
8.004693	2280.781270	14.098363
8.004703	2280.694120	14.098093
8.004712	2280.606971	14.097824
8.004714	2280.519822	14.097555
8.004715	2280.432673	14.097285
8.004735	2280.345524	14.097016
8.004751	2280.258375	14.096747
8.004780	2280.171225	14.096477
8.004809	2280.084076	14.096208
8.004813	2279.996927	14.095938
8.004826	2279.909778	14.095669
8.004828	2279.822629	14.095400
8.004834	2279.735479	14.095130
8.004876	2279.648330	14.094861
8.004911	2279.561181	14.094591
8.004915	2279.474032	14.094322
8.004946	2279.386883	14.094053
8.004961	2279.299734	14.093783
8.004969	2279.212584	14.093514
8.004972	2279.125435	14.093244
8.004974	2279.038286	14.092975
8.004987	2278.951137	14.092705
8.004991	2278.863988	14.092436
8.004994	2278.776838	14.092166
8.004995	2278.689689	14.091897
8.004995	2278.602540	14.091627
8.005009	2278.515391	14.091358
8.005050	2278.428242	14.091088
8.005067	2278.341093	14.090819
8.005071	2278.253943	14.090549
8.005082	2278.166794	14.090280
8.005096	2278.079645	14.090010
8.005102	2277.992496	14.089741
8.005105	2277.905347	14.089471
8.005109	2277.818197	14.089202
8.005120	2277.731048	14.088932
8.005128	2277.643899	14.088663
8.005130	2277.556750	14.088393
8.005135	2277.469601	14.088124
8.005138	2277.382452	14.087854
8.005154	2277.295302	14.087585
8.005155	2277.208153	14.087315
8.005156	2277.121004	14.087046
8.005167	2277.033855	14.086776
8.005175	2276.946706	14.086506
8.005180	2276.859556	14.086237
8.005196	2276.772407	14.085967
8.005197	2276.685258	14.085698
8.005201	2276.598109	14.085428
8.005206	2276.510960	14.085158
8.005211	2276.423811	14.084889
8.005218	2276.336661	14.084619
8.005228	2276.249512	14.084350
8.005242	2276.162363	14.084080
8.005249	2276.075214	14.083810
8.005265	2275.988065	14.083541
8.005267	2275.900915	14.083271
8.005282	2275.813766	14.083001
8.005283	2275.726617	14.082732
8.005332	2275.639468	14.082462
8.005367	2275.552319	14.082192
8.005369	2275.465169	14.081923
8.005384	2275.378020	14.081653
8.005392	2275.290871	14.081383
8.005418	2275.203722	14.081114
8.005430	2275.116573	14.080844
8.005456	2275.029424	14.080574
8.005479	2274.942274	14.080305
8.005485	2274.855125	14.080035
8.005493	2274.767976	14.079765
8.005503	2274.680827	14.079496
8.005517	2274.593678	14.079226
8.005518	2274.506528	14.078956
8.005520	2274.419379	14.078686
8.005528	2274.332230	14.078417
8.005531	2274.245081	14.078147
8.005531	2274.157932	14.077877
8.005534	2274.070783	14.077607
8.005543	2273.983633	14.077338
8.005546	2273.896484	14.077068
8.005552	2273.809335	14.076798
8.005568	2273.722186	14.076528
8.005581	2273.635037	14.076259
8.005610	2273.547887	14.075989
8.005626	2273.460738	14.075719
8.005628	2273.373589	14.075449
8.005628	2273.286440	14.075180
8.005629	2273.199291	14.074910
8.005649	2273.112142	14.074640
8.005651	2273.024992	14.074370
8.005708	2272.937843	14.074100
8.005709	2272.850694	14.073831
8.005715	2272.763545	14.073561
8.005721	2272.676396	14.073291
8.005732	2272.589246	14.073021
8.005732	2272.502097	14.072751
8.005747	2272.414948	14.072481
8.005765	2272.327799	14.072211
8.005766	2272.240650	14.071942
8.005788	2272.153501	14.071672
8.005796	2272.066351	14.071402
8.005805	2271.979202	14.071132
8.005814	2271.892053	14.070862
8.005834	2271.804904	14.070592
8.005906	2271.717755	14.070322
8.005912	2271.630605	14.070053
8.005918	2271.543456	14.069783
8.005924	2271.456307	14.069513
8.005930	2271.369158	14.069243
8.005946	2271.282009	14.068973
8.005952	2271.194860	14.068703
8.005958	2271.107710	14.068433
8.005959	2271.020561	14.068163
8.005964	2270.933412	14.067893
8.005979	2270.846263	14.067623
8.005999	2270.759114	14.067353
8.006006	2270.671964	14.067083
8.006019	2270.584815	14.066813
8.006025	2270.497666	14.066543
8.006027	2270.410517	14.066274
8.006032	2270.323368	14.066004
8.006080	2270.236219	14.065734
8.006109	2270.149069	14.065464
8.006127	2270.061920	14.065194
8.006138	2269.974771	14.064924
8.006139	2269.887622	14.064654
8.006141	2269.800473	14.064384
8.006141	2269.713323	14.064114
8.006147	2269.626174	14.063844
8.006148	2269.539025	14.063574
8.006152	2269.451876	14.063304
8.006154	2269.364727	14.063034
8.006155	2269.277577	14.062764
8.006162	2269.190428	14.062493
8.006167	2269.103279	14.062223
8.006168	2269.016130	14.061953
8.006174	2268.928981	14.061683
8.006175	2268.841832	14.061413
8.006179	2268.754682	14.061143
8.006184	2268.667533	14.060873
8.006196	2268.580384	14.060603
8.006202	2268.493235	14.060333
8.006224	2268.406086	14.060063
8.006224	2268.318936	14.059793
8.006224	2268.231787	14.059523
8.006226	2268.144638	14.059253
8.006240	2268.057489	14.058983
8.006249	2267.970340	14.058712
8.006282	2267.883191	14.058442
8.006289	2267.796041	14.058172
8.006293	2267.708892	14.057902
8.006315	2267.621743	14.057632
8.006329	2267.534594	14.057362
8.006357	2267.447445	14.057092
8.006361	2267.360295	14.056822
8.006369	2267.273146	14.056551
8.006379	2267.185997	14.056281
8.006380	2267.098848	14.056011
8.006390	2267.011699	14.055741
8.006395	2266.924550	14.055471
8.006400	2266.837400	14.055201
8.006400	2266.750251	14.054930
8.006403	2266.663102	14.054660
8.006408	2266.575953	14.054390
8.006415	2266.488804	14.054120
8.006425	2266.401654	14.053850
8.006442	2266.314505	14.053579
8.006454	2266.227356	14.053309
8.006469	2266.140207	14.053039
8.006491	2266.053058	14.052769
8.006491	2265.965909	14.052499
8.006507	2265.878759	14.052228
8.006515	2265.791610	14.051958
8.006519	2265.704461	14.051688
8.006542	2265.617312	14.051418
8.006548	2265.530163	14.051147
8.006548	2265.443013	14.050877
8.006550	2265.355864	14.050607
8.006559	2265.268715	14.050337
8.006559	2265.181566	14.050066
8.006560	2265.094417	14.049796
8.006576	2265.007268	14.049526
8.006585	2264.920118	14.049255
8.006622	2264.832969	14.048985
8.006633	2264.745820	14.048715
8.006636	2264.658671	14.048444
8.006663	2264.571522	14.048174
8.006663	2264.484372	14.047904
8.006690	2264.397223	14.047634
8.006691	2264.310074	14.047363
8.006692	2264.222925	14.047093
8.006696	2264.135776	14.046823
8.006703	2264.048627	14.046552
8.006708	2263.961477	14.046282
8.006713	2263.874328	14.046012
8.006726	2263.787179	14.045741
8.006731	2263.700030	14.045471
8.006739	2263.612881	14.045200
8.006762	2263.525731	14.044930
8.006789	2263.438582	14.044660
8.006811	2263.351433	14.044389
8.006840	2263.264284	14.044119
8.006845	2263.177135	14.043849
8.006852	2263.089985	14.043578
8.006858	2263.002836	14.043308
8.006869	2262.915687	14.043037
8.006893	2262.828538	14.042767
8.006901	2262.741389	14.042496
8.006905	2262.654240	14.042226
8.006928	2262.567090	14.041956
8.006940	2262.479941	14.041685
8.006958	2262.392792	14.041415
8.006960	2262.305643	14.041144
8.006960	2262.218494	14.040874
8.006975	2262.131344	14.040603
8.006978	2262.044195	14.040333
8.007004	2261.957046	14.040062
8.007006	2261.869897	14.039792
8.007011	2261.782748	14.039522
8.007025	2261.695599	14.039251
8.007046	2261.608449	14.038981
8.007048	2261.521300	14.038710
8.007068	2261.434151	14.038440
8.007087	2261.347002	14.038169
8.007126	2261.259853	14.037899
8.007148	2261.172703	14.037628
8.007152	2261.085554	14.037357
8.007154	2260.998405	14.037087
8.007156	2260.911256	14.036816
8.007171	2260.824107	14.036546
8.007176	2260.736958	14.036275
8.007182	2260.649808	14.036005
8.007193	2260.562659	14.035734
8.007199	2260.475510	14.035464
8.007204	2260.388361	14.035193
8.007206	2260.301212	14.034923
8.007209	2260.214062	14.034652
8.007225	2260.126913	14.034381
8.007243	2260.039764	14.034111
8.007243	2259.952615	14.033840
8.007255	2259.865466	14.033570
8.007263	2259.778317	14.033299
8.007266	2259.691167	14.033028
8.007274	2259.604018	14.032758
8.007282	2259.516869	14.032487
8.007289	2259.429720	14.032217
8.007293	2259.342571	14.031946
8.007301	2259.255421	14.031675
8.007301	2259.168272	14.031405
8.007312	2259.081123	14.031134
8.007313	2258.993974	14.030863
8.007370	2258.906825	14.030593
8.007381	2258.819676	14.030322
8.007394	2258.732526	14.030052
8.007410	2258.645377	14.029781
8.007410	2258.558228	14.029510
8.007415	2258.471079	14.029240
8.007418	2258.383930	14.028969
8.007457	2258.296780	14.028698
8.007465	2258.209631	14.028427
8.007467	2258.122482	14.028157
8.007491	2258.035333	14.027886
8.007515	2257.948184	14.027615
8.007549	2257.861035	14.027345
8.007550	2257.773885	14.027074
8.007576	2257.686736	14.026803
8.007581	2257.599587	14.026532
8.007584	2257.512438	14.026262
8.007597	2257.425289	14.025991
8.007603	2257.338139	14.025720
8.007613	2257.250990	14.025450
8.007623	2257.163841	14.025179
8.007623	2257.076692	14.024908
8.007628	2256.989543	14.024637
8.007663	2256.902394	14.024366
8.007665	2256.815244	14.024096
8.007689	2256.728095	14.023825
8.007691	2256.640946	14.023554
8.007723	2256.553797	14.023283
8.007723	2256.466648	14.023013
8.007725	2256.379498	14.022742
8.007779	2256.292349	14.022471
8.007788	2256.205200	14.022200
8.007792	2256.118051	14.021929
8.007796	2256.030902	14.021658
8.007803	2255.943752	14.021388
8.007803	2255.856603	14.021117
8.007851	2255.769454	14.020846
8.007863	2255.682305	14.020575
8.007866	2255.595156	14.020304
8.007878	2255.508007	14.020033
8.007879	2255.420857	14.019763
8.007920	2255.333708	14.019492
8.007945	2255.246559	14.019221
8.007947	2255.159410	14.018950
8.007950	2255.072261	14.018679
8.007952	2254.985111	14.018408
8.007975	2254.897962	14.018137
8.007993	2254.810813	14.017866
8.008001	2254.723664	14.017596
8.008001	2254.636515	14.017325
8.008007	2254.549366	14.017054
8.008022	2254.462216	14.016783
8.008030	2254.375067	14.016512
8.008050	2254.287918	14.016241
8.008057	2254.200769	14.015970
8.008061	2254.113620	14.015699
8.008072	2254.026470	14.015428
8.008085	2253.939321	14.015157
8.008103	2253.852172	14.014886
8.008110	2253.765023	14.014615
8.008127	2253.677874	14.014344
8.008130	2253.590725	14.014073
8.008144	2253.503575	14.013802
8.008150	2253.416426	14.013531
8.008159	2253.329277	14.013260
8.008161	2253.242128	14.012989
8.008162	2253.154979	14.012718
8.008170	2253.067829	14.012447
8.008179	2252.980680	14.012176
8.008188	2252.893531	14.011905
8.008200	2252.806382	14.011634
